身份证号,姓名,联系电话,性别,出生日期,居住地,进入居住地时间,离开居住地时间
991364201512082768,罗萍梦,17787042180,女,2015-12-08,北航家属院,2022-06-28,暂未离开
540695195508319135,濮阳验箭,15276808843,男,1955-08-31,北航家属院,2022-10-03,2022-12-01
468049195609111654,贺仅糊,13479305368,女,1956-09-11,北航家属院,2022-01-03,2022-04-01
980526194307161360,宗政负,15921827511,男,1943-07-16,北航家属院,2022-01-19,暂未离开
302679199012145049,汪配,13827806689,男,1990-12-14,北航家属院,2022-08-21,暂未离开
712079199808125213,傅艳蒜,18137278149,女,1998-08-12,北航家属院,2022-07-14,暂未离开
713970196302199350,黄桑,13534049566,男,1963-02-19,北航家属院,2022-04-16,暂未离开
661573200206169543,徐兰,18416033537,女,2002-06-16,北航家属院,2022-10-31,2022-11-26
296248196710143174,赖区,13014248035,男,1967-10-14,北航家属院,2022-07-01,2022-10-17
237489194504265470,谭园,17002666342,男,1945-04-26,北航家属院,2022-04-09,2022-09-14
170435194607111670,贺霞早,14561539746,女,1946-07-11,北航家属院,2022-09-11,暂未离开
747639196310287810,韩休片,18399205544,男,1963-10-28,北航家属院,2022-06-29,暂未离开
102856194708245132,唐团束,17155594843,男,1947-08-24,北航家属院,2022-03-23,2022-11-29
639265200909058596,彭乔暖,17335587213,女,2009-09-05,北航家属院,2022-09-09,暂未离开
494672196812200715,万芦,17138745833,女,1968-12-20,北航家属院,2022-11-04,暂未离开
458372196702022645,杜陷,15550929220,男,1967-02-02,北航家属院,2022-10-24,2022-12-08
123780195307315807,林耀羊,13584264064,女,1953-07-31,北航家属院,2022-03-29,暂未离开
951230196806215903,唐尖侦,14760439522,女,1968-06-21,北航家属院,2022-01-06,2022-02-18
840961194112030471,郝尘,14993114687,女,1941-12-03,北航家属院,2022-07-04,暂未离开
280624197110195270,罗耍,13405884669,男,1971-10-19,北航家属院,2022-03-13,2022-06-11
504761194510043540,顾划,13533631396,男,1945-10-04,北航家属院,2022-05-18,暂未离开
175289197907085318,杜耐,13519633668,男,1979-07-08,北航家属院,2022-09-23,2022-11-27
506541200703293129,吕超,18264323434,女,2007-03-29,北航家属院,2022-10-11,暂未离开
931726197610256475,乔旱,14752822103,男,1976-10-25,北航家属院,2022-02-19,暂未离开
785629197208049824,江歪盯,18559616588,男,1972-08-04,北航家属院,2022-09-30,2022-11-21
230569200003175179,金扇展,15540575221,男,2000-03-17,北航家属院,2022-10-30,2022-11-28
637962196206069316,邵谁,14576820917,男,1962-06-06,北航家属院,2022-11-30,2022-12-01
298721196902057052,谭专,17609412166,女,1969-02-05,北航家属院,2022-04-01,2022-04-04
658327198907116387,贾庄芳,15321736782,女,1989-07-11,北航家属院,2022-11-15,暂未离开
416507201101198406,赵两丹,17050812955,男,2011-01-19,北航家属院,2022-01-23,暂未离开
949658198909079562,孔路篇,14917530020,男,1989-09-07,北航家属院,2022-11-22,2022-11-23
301694198309242768,令狐至爽,17327472878,女,1983-09-24,北航家属院,2022-02-20,暂未离开
730574200712237608,易督琪,18189038396,男,2007-12-23,北航家属院,2022-10-03,暂未离开
396385195204079581,令狐各,15627776154,女,1952-04-07,北航家属院,2022-06-17,暂未离开
261752195703096109,彭王此,17023562228,女,1957-03-09,北航家属院,2022-03-06,2022-09-24
425830202208274187,熊侍鹰,18107788132,男,2022-08-27,北航家属院,2022-06-05,2022-08-11
381256197312172845,太叔栋,18989813360,女,1973-12-17,北航家属院,2022-07-28,2022-09-03
629647199603255492,金并,15798816285,男,1996-03-25,北航家属院,2022-03-30,暂未离开
523091194807281678,龙全,17039023891,女,1948-07-28,北航家属院,2022-05-18,2022-07-08
202367194109141038,王伟蒙,15905386357,男,1941-09-14,北航家属院,2022-08-27,2022-11-06
180769194808238450,漕请,15206966820,男,1948-08-23,北航家属院,2022-05-01,暂未离开
545261199206044592,罗齐,13600547109,男,1992-06-04,北航家属院,2022-08-20,暂未离开
973896197410099053,谢奇,14515924674,男,1974-10-09,北航家属院,2022-10-30,暂未离开
697120201408177518,吕掀王,15004549491,男,2014-08-17,北航家属院,2022-02-25,暂未离开
681702199210311423,黄贞旱,18332596244,女,1992-10-31,北航家属院,2022-04-05,2022-06-03
239075200711056983,邹碰,17297437019,女,2007-11-05,北航家属院,2022-09-05,2022-11-21
557806198009076537,魏匹足,14918032663,男,1980-09-07,北航家属院,2022-01-05,2022-01-10
302738199004234136,刘杰培,17569905751,女,1990-04-23,北航家属院,2022-08-12,暂未离开
175940194510139247,武础串,17111642690,女,1945-10-13,北航家属院,2022-06-11,暂未离开
252083194908194572,石怡多,15211426157,男,1949-08-19,北航家属院,2022-10-26,2022-11-19
505964199502170749,邓伶求,17335322217,女,1995-02-17,北航家属院,2022-09-07,2022-11-22
172469197606103480,沈域过,15799552568,女,1976-06-10,北航家属院,2022-04-18,暂未离开
463278198403282873,侯故,13065265336,女,1984-03-28,北航家属院,2022-05-30,暂未离开
153792198207259450,郝帆,15552418855,男,1982-07-25,北航家属院,2022-02-28,暂未离开
167250197902060974,宗政飞宰,17614539755,男,1979-02-06,北航家属院,2022-09-16,2022-09-18
986174200802081745,魏榆,17158205579,男,2008-02-08,北航家属院,2022-05-25,2022-08-10
974803201301129647,邱苍执,17844426616,男,2013-01-12,北航家属院,2022-07-01,暂未离开
614920200603217094,汤舍念,14594701106,男,2006-03-21,北航家属院,2022-05-03,2022-08-10
647291199409231643,薛列败,14991368240,女,1994-09-23,北航家属院,2022-04-28,2022-12-09
254697199705230125,轩辕什,13108355243,女,1997-05-23,北航家属院,2022-11-18,暂未离开
463519196211012709,汤足,13792683029,女,1962-11-01,北航家属院,2022-09-17,2022-09-17
891046201809270289,蔡佳,18558329663,女,2018-09-27,北航家属院,2022-04-06,2022-05-28
712985196610050584,刘车,17004269332,女,1966-10-05,北航家属院,2022-07-29,暂未离开
829413199005190386,蔡订足,14523100707,女,1990-05-19,北航家属院,2022-08-10,暂未离开
795763200507129316,张医,18855806634,女,2005-07-12,北航家属院,2022-05-21,2022-10-20
264735195805132948,仲孙碑,18420074481,男,1958-05-13,北航家属院,2022-11-18,暂未离开
810246195408193814,杜睬,18213774687,男,1954-08-19,北航家属院,2022-10-07,2022-11-11
398265195911194273,程皆,14730169998,男,1959-11-19,北航家属院,2022-02-13,2022-10-09
758041196712021856,黎腾露,15129464976,男,1967-12-02,北航家属院,2022-12-04,暂未离开
606543201610136519,宗政国英,13695942380,女,2016-10-13,北航家属院,2022-06-25,暂未离开
898157195304031870,熊斩乖,13189092185,女,1953-04-03,北航家属院,2022-05-10,暂未离开
710278201003210875,田极潜,14974385221,男,2010-03-21,北航家属院,2022-05-18,暂未离开
608415201803305021,彭眨,15259954689,女,2018-03-30,北航家属院,2022-11-26,2022-12-09
628519197712243012,万娘团,13727009938,女,1977-12-24,北航家属院,2022-08-19,2022-11-20
710245196908239276,欧阳蒙,14798914100,男,1969-08-23,北航家属院,2022-09-08,2022-11-26
932970197912308506,邓扩,15125239579,女,1979-12-30,北航家属院,2022-03-18,2022-08-12
332756195606217381,申屠问,15578806353,女,1956-06-21,北航家属院,2022-10-19,2022-11-22
978921200609162138,周团延,14931946696,男,2006-09-16,北航家属院,2022-08-21,2022-09-24
